Месяц,Категория,Название,Количество,Сумма
Февраль,Корма,Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг,2 пачки,5650
Февраль,Медикаменты,Apicenna Раносан Мазь антибактериальная ранозаживляющая для кошек и собак 10 гр.,1 упаковка,227
Февраль,Медикаменты,БиоХимФарм Алюмиспрей заживляющий для кошек и собак 350 мл,1 упаковка,474
Февраль,Обработка от паразитов,KRKA Милпразон Антигельминтные таблетки для собак и щенков весом до 5 кг,1 упаковка,396
Февраль,Обработка от паразитов,KRKA Милпразон Антигельминтные таблетки для собак весом более 5 кг,1 упаковка,597
Февраль,Обработка от паразитов,KRKA Милпразон Антигельминтные таблетки для кошек весом более 2 кг,1 упаковка,620
Февраль,Обработка от паразитов,АВЗ Барс спрей для взрослых собак от блох и клещей 200 мл,1 упаковка,778
Февраль,Обработка от паразитов,KRKA Атакса Капли на холку для собак весом от 25 до 40 кг от блох и клещей,1 упаковка,733
Февраль,Обработка от паразитов,KRKA Атакса Капли на холку для собак весом от 10 до 25 кг от блох и клещей,1 упаковка,647
Март,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,2 банки,474
Март,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,2 банки,474
Март,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,2 банки,474
Март,Корма,Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг,1 пачки,2511
Март,Корма,PRO PLAN Veterinary Diets Purina Veterinary Diets EN Gastrointestinal Сухой корм для щенков и взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы 1.5 кг,1 пачка,2652
Март,Обработка от паразитов,Apicenna Дана Ультра капли на холку для кошек более 4 кг от блох вшей клещей власоедов 1 пипетка,4 упаковки,730
Март,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков 10-20 кг от блох вшей клещей 1 пипетка,3 упаковки,548
Март,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков до 5 кг от блох вшей клещей власоедов 1 пипетка,1 упаковка,160
Март,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков более 20 кг от блох вшей клещей власоедов 1 пипетка,1 упаковка,229
Март,Обработка от паразитов,Астрафарм ИН-АП комплекс для собак и щенков весом до 10 кг,2 упаковки,890
Март,Обработка от паразитов,Астрафарм ИН-АП комплекс для кошек,1 упаковки,445
Май,Медикаменты,KRKA Кладакса Комбинированный антибактериальный препарат для кошек и собак 40/10 мг 10 таблеток,7 упаковок,2093
Май,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,3 банки,669
Май,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,6 банки,1299
Май,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,7 банки,1522
Май,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,2 банки,446
Май,Обработка от паразитов,АВЗ Барс Форте Капли на холку для собак старше 2.5 месяцев весом до 40 кг от блох и клещей 4 пипетки,1 упаковка,655
Май,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков 10-20 кг от блох вшей клещей 1 пипетка,4 упаковки,860
Май,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков более 20 кг от блох вшей клещей власоедов 1 пипетка,2 упаковки,458
Июнь,Медикаменты,KRKA Кладакса Комбинированный антибактериальный препарат для кошек и собак 40/10 мг 10 таблеток,6 упаковок,1794
Июнь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,2 банки,474
Июнь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,6 банки,1380
Июнь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,4 банки,948
Июнь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,2 банки,474
Июнь,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков 10-20 кг от блох вшей клещей 1 пипетка,3 упаковки,645
Июнь,Обработка от паразитов,Apicenna Дана Ультра капли на холку для собак и щенков более 20 кг от блох вшей клещей власоедов 1 пипетка,3 упаковки,747
Июль,Медикаменты,KRKA Кладакса Комбинированный антибактериальный препарат для кошек и собак 40/10 мг 10 таблеток,8 упаковок,2712
Июль,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,2 банки,558
Июль,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,3 банки,837
Июль,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,3 банки,837
Июль,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,4 банки,1116
Июль,Снаряжение,Pet hobby Поводок капроновый для собак с импортным карабином 3м 25мм,3 шт,1407
Июль,Снаряжение,Pet hobby Поводок капроновый для собак с импортным карабином 5м 20мм,3 шт,938
Август,Корма,Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг,1 пачка,3265
Август,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,1 банка,279
Август,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,1 банка,279
Август,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,1 банка,279
Сентябрь,Корма,Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг,1 пачка,3265
Сентябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,2 банки,558
Сентябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр,1 банка,279
Сентябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,2 банки,558
Октябрь,Медикаменты,Трихопол таблетки 250 мг 20 шт,5 упаковок,495
Октябрь,Медикаменты,Метронидазол таблетки 250 мг 20 шт,3 упаковки,129
Октябрь,Медикаменты,Метронидазол таблетки 250 мг 40 шт,3 упаковки,486
Октябрь,Корма,Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг,1 пачка,3265
Октябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр,4 банки,1248
Октябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр,5 банок,1560
Октябрь,Корма,АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной 750 гр,2 банки,624
Декабрь,Ветклиника,Полный чекап здоровья собаки и лечение,3 собаки,11000
